x,y
0.0,1.0
0.1,0.9950041652780258
0.2,0.9800665778412416
0.30000000000000004,0.955336489125606
0.4,0.9210609940028851
0.5,0.8775825618903728
0.6000000000000001,0.8253356149096782
0.7000000000000001,0.7648421872844884
0.8,0.6967067093471654
0.9,0.6216099682706644
1.0,0.5403023058681398
1.1,0.4535961214255773
1.2000000000000002,0.3623577544766734
1.3,0.26749882862458735
1.4000000000000001,0.16996714290024081
1.5,0.0707372016677029
1.6,-0.029199522301288815
1.7000000000000002,-0.12884449429552486
1.8,-0.2272020946930871
1.9000000000000001,-0.3232895668635036
2.0,-0.4161468365471424
2.1,-0.5048461045998576
2.2,-0.5885011172553458
2.3000000000000003,-0.6662760212798244
2.4000000000000004,-0.7373937155412458
2.5,-0.8011436155469337
2.6,-0.8568887533689473
2.7,-0.9040721420170612
2.8000000000000003,-0.9422223406686583
2.9000000000000004,-0.9709581651495907
3.0,-0.9899924966004454
3.1,-0.9991351502732795
3.2,-0.9982947757947531
3.3000000000000003,-0.9874797699088649
3.4000000000000004,-0.9667981925794609
3.5,-0.9364566872907963
3.6,-0.896758416334147
3.7,-0.848100031710408
3.8000000000000003,-0.7909677119144165
3.9000000000000004,-0.7259323042001399
4.0,-0.6536436208636119
4.1000000000000005,-0.5748239465332685
4.2,-0.4902608213406994
4.3,-0.40079917207997545
4.4,-0.30733286997841935
4.5,-0.2107957994307797
4.6000000000000005,-0.11215252693505398
4.7,-0.01238866346289056
4.800000000000001,0.08749898343944727
4.9,0.18651236942257576
5.0,0.28366218546322625
5.1000000000000005,0.37797774271298107
5.2,0.4685166713003771
5.300000000000001,0.5543743361791615
5.4,0.6346928759426347
5.5,0.70866977429126
5.6000000000000005,0.7755658785102502
5.7,0.8347127848391598
5.800000000000001,0.8855195169413194
5.9,0.9274784307440359
6.0,0.960170286650366
6.1000000000000005,0.9832684384425847
6.2,0.9965420970232175
6.300000000000001,0.9998586363834151
6.4,0.9931849187581926
6.5,0.9765876257280235
6.6000000000000005,0.9502325919585293
6.7,0.9143831482353194
6.800000000000001,0.8693974903498248
6.9,0.8157251001253568
7.0,0.7539022543433046
7.1000000000000005,0.6845466664428059
7.2,0.6083513145322546
7.300000000000001,0.5260775173811045
7.4,0.43854732757439036
7.5,0.3466353178350258
7.6000000000000005,0.25125984258225487
7.7,0.15337386203786435
7.800000000000001,0.05395542056264886
7.9,-0.04600212563953695
8.0,-0.14550003380861354
8.1,-0.2435441537357911
8.200000000000001,-0.33915486098383624
8.3,-0.4313768449706208
8.4,-0.5192886541166856
8.5,-0.6020119026848236
8.6,-0.6787200473200125
8.700000000000001,-0.7486466455973999
8.8,-0.811093014061656
8.9,-0.8654352092411123
9.0,-0.9111302618846769
9.1,-0.9477216021311119
9.200000000000001,-0.974843621404164
9.3,-0.9922253254526034
9.4,-0.9996930420352065
9.5,-0.9971721561963784
9.600000000000001,-0.9846878557941267
9.700000000000001,-0.9623648798313097
9.8,-0.9304262721047533
9.9,-0.8891911526253609
